level,topic,label
4,E1-3,Disclosure of expected outcomes of key action and how its implementation contributes to achievement of policy objectives and targets
4,E1-3,Description of scope of key action
4,E1-3,Disclosure of quantitative and qualitative information regarding progress of actions or action plans disclosed in prior periods
4,E1-3,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan
5,E1-3,Description of type of current and future financial and other resources allocated to action plan
6,E1-3,Explanation of extent to which ability to implement action depends on availability and allocation of resources
5,E1-3,Explanation of how current financial resources relate to most relevant amounts presented in financial statements
5,E1-3,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to relevant line items or notes in financial statements
5,E1-3,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to key performance indicators required under Commission Delegated Regulation (EU) 2021/2178
5,E1-3,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to CapEx plan required by Commission Delegated Regulation (EU) 2021/2178
5,E1-3,Explanation of any potential differences between significant OpEx and CapEx disclosed under ESRS E1 and key performance indicators disclosed under Commission Delegated Regulation (EU) 2021/2178
2,E1-4,Disclosure of climate-related targets
4,E1-4,"Disclosure of how GHG emissions reduction targets and (or) any other targets have been set to manage material climate-related impacts, risks and opportunities"
2,E1-4.1,Disclosure of climate-related targets
5,E1-4.1,Disclosure of measurable outcome-oriented and time-bound target
6,E1-4.1,Description of scope of target
6,E1-4.1,Description of how it has been ensured that baseline value is representative in terms of activities covered and influences from external factors
6,E1-4.1,"Description of how new baseline value affects new target, its achievement and presentation of progress over time"
6,E1-4.1,Disclosure of past progress made in meeting target before current base year
6,E1-4.1,Indication of milestones or interim targets
6,E1-4.1,Description of methodologies and significant assumptions used to define target
7,E1-4.1,"Disclosure of framework and methodology that has been used to determine GHG emission reduction target, underlying climate and policy scenarios for target, how future developments have been considered and how these will potentially impact GHG emissions and emissions reductions"
6,E1-4.1,Explanation of how targets are compatible with limiting of global warming to one and half degrees Celsius in line with Paris Agreement
7,E1-4.1,Disclosure of how stakeholders have been involved in target setting
6,E1-4.1,"Description of any changes in target and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and adopted processes to collect data"
6,E1-4.1,Description of performance against disclosed target
6,E1-4.1,Description of expected decarbonisation levers and their overall quantitative contributions to achieve GHG emission reduction target
8,E1-4.1,"Disclosure of how diverse range of climate scenarios have been considered to detect relevant environmental, societal, technology, market and policy-related developments and determine decarbonisation levers"
6,E1-4.1,Explanation of how consistency of GHG emission reduction targets with GHG inventory boundaries has been ensured
7,E1-4.1,Disclosure of timeframe for setting of measurable outcome-oriented targets
6,E1-4.1,Description of reasons why there are no plans to set measurable outcome-oriented targets
7,E1-4.1,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
7,E1-4.1,Description of defined level of ambition to be achieved and of any qualitative or quantitative indicators used to evaluate progress
2,E1-5,Disclosure of energy consumption and mix
5,E1-5,Disclosure of reconciliation to relevant line item or notes in financial statements of net revenue from activities in high climate impact sectors
2,E1-6,Disclosure of GHG emissions
5,E1-6,"Disclosure of reporting boundaries considered and calculation methods for estimating Scope 3 GHG emissions category and, if relevant, calculation tools applied"
5,E1-6,"Disclosure of reporting boundaries considered and calculation methods for estimating Scope 3 GHG emissions category and, if relevant, calculation tools applied"
3,E1-6,Disclosure of significant changes in definition of what constitutes reporting undertaking and its upstream and downstream value chain and explanation of their effect on year-to-year comparability of reported GHG emissions
3,E1-6,Disclosure of effects of significant events and changes in circumstances relevant to GHG emissions that occur between reporting dates of entities in value chain and date of undertaking's general purpose financial statements
3,E1-6,"Disclosure of methodologies, significant assumptions and emissions factors used to calculate or measure GHG emissions"
3,E1-6,Disclosure of reconciliation to financial statements of net revenue used for calculation of GHG emissions intensity
3,E1-6,Disclosure of why Scope 3 GHG emissions categories have been excluded from inventory
3,E1-6,"Disclosure of types of contractual instruments, Scope 2 GHG emissions"
3,E1-6,Disclosure of types of contractual instruments used for sale and purchase of energy bundled with attributes about energy generation or for unbundled energy attribute claims
3,E1-6,Disclosure of extent to which Scope 3 GHG emissions are measured using inputs from specific activities within upstream and downstream value chain
2,E1-6.1,Disclosure of GHG emissions
2,E1-7,Disclosure of GHG removals and GHG mitigation projects financed through carbon credits
5,E1-7,Disclosure of GHG removals and storage resulting from projects developed in own operations or contributed to in upstream and downstream value chain
6,E1-7,"Disclosure of calculation assumptions, methodologies and frameworks applied (GHG removals and storage)"
5,E1-7,Disclosure of GHG emission reductions or removals from climate change mitigation projects outside value chain financed or to be financed through any purchase of carbon credits
6,E1-7,Disclosure of extent of use and quality criteria used for carbon credits
7,E1-7,"Explanation of scope, methodologies and frameworks applied and how residual GHG emissions are intended to be neutralised"
7,E1-7,Explanation of how public claims of GHG neutrality that involve use of carbon credits are accompanied by GHG emission reduction targets and how claims of GHG neutrality and reliance on carbon credits neither impede nor reduce achievement of GHG emission reduction targets or net zero target
7,E1-7,Explanation of credibility and integrity of carbon credits used
5,E1-7,"Description of GHGs concerned for removal and storage activity, technological details about GHG removal, type of storage and transport of removed GHGs, whether activity qualifies as nature-based solution and how risk of non-permanence is managed"
1,E1-8,"Disclosure of whether internal carbon pricing schemes are applied, and if so, how these support decision making and incentivise implementation of climate-related policies and targets"
4,E1-8,Description of specific scope of application of carbon pricing scheme
4,E1-8,Description of critical assumptions made to determine carbon price applied
5,E1-8,Disclosure of how carbon price used in internal carbon pricing scheme is consistent with carbon price used in financial statements
2,E1-9,"Disclosure of anticipated financial effects from material physical risks, material transition risks and potential to benefit from material climate-related opportunities"
5,E1-9,Disclosure of anticipated financial effects from material physical risks
6,E1-9,Disclosure of location of significant assets at material physical risk
6,E1-9,Disclosure of reconciliations with financial statements of significant amounts of assets and net revenue at material physical risk
7,E1-9,Disclosure of how anticipated financial effects for assets and business activities at material physical risk have been assessed
7,E1-9,Disclosure of how assessment of assets and business activities considered to be at material physical risk relies on or is part of process to determine material physical risk and to determine climate scenarios
2,E1-9.1,"Disclosure of anticipated financial effects from material physical risks, material transition risks and potential to benefit from material climate-related opportunities"
5,E1-9.1,Disclosure of anticipated financial effects from material transition risks
6,E1-9.1,"Disclosure of reconciliations with financial statements of significant amounts of assets, liabilities and net revenue at material transition risk"
7,E1-9.1,Disclosure of how potential effects on future financial performance and position for assets and business activities at material transition risk have been assessed
7,E1-9.1,Disclosure of how assessment of assets and business activities considered to be at material transition risk relies on or is part of process to determine material transition risks and to determine scenarios
5,E1-9.1,Disclosure of potential to benefit from material climate-related opportunities
2,E1-9.2,"Disclosure of anticipated financial effects from material physical risks, material transition risks and potential to benefit from material climate-related opportunities"
2,E1-9.3,"Disclosure of anticipated financial effects from material physical risks, material transition risks and potential to benefit from material climate-related opportunities"
6,E1-9.3,Disclosure of risk factors for net revenue from business activities at material physical risk
6,E1-9.3,Disclosure of magnitude of anticipated financial effects in terms of margin erosion for business activities at material physical risk
6,E1-9.3,Disclosure of risk factors for net revenue from business activities at material transition risk
6,E1-9.3,Disclosure of anticipated financial effects related to margin erosion for business activities at material transition risk
2,E1-9.4,"Disclosure of anticipated financial effects from material physical risks, material transition risks and potential to benefit from material climate-related opportunities"
1,E2.IRO-1,"Disclosure of process to identify impacts, risks and opportunities and to assess which ones are material"
2,E2.IRO-1,"Information about methodologies, assumptions and tools used to screen site locations and business activities in order to identify actual and potential pollution-related impacts, risks and opportunities in own operations and upstream and downstream value chain"
3,E2.IRO-1,Disclosure of how consultations have been conducted (pollution)
1,E2-1,"Disclosure of policies adopted to manage material impacts, risks and opportunities related to pollution prevention and control"
4,E2-1,Description of key contents of policy
4,E2-1,Description of scope of policy or of its exclusions
4,E2-1,Description of most senior level in organisation that is accountable for implementation of policy
4,E2-1,Disclosure of third-party standards or initiatives that are respected through implementation of policy
4,E2-1,Description of consideration given to interests of key stakeholders in setting policy
5,E2-1,Explanation of how policy is made available to potentially affected stakeholders and stakeholders who need to help implement it
5,E2-1,"Disclosure of how policy addresses mitigating negative impacts related to pollution of air, water and soil"
5,E2-1,Disclosure of how policy addresses substituting and minimising use of substances of concern and phasing out substances of very high concern
5,E2-1,"Disclosure of how policy addresses avoiding incidents and emergency situations, and if and when they occur, controlling and limiting their impact on people and environment"
2,E2-1,"Disclosure of contextual information on relations between policies implemented and how policies contribute to EU Action Plan Towards Zero Pollution for Air, Water and Soil"
1,E2-2,Disclosure of pollution-related actions and resources allocated to their implementation
4,E2-2,Disclosure of key action
4,E2-2,Disclosure of expected outcomes of key action and how its implementation contributes to achievement of policy objectives and targets
4,E2-2,Description of scope of key action
4,E2-2,Disclosure of quantitative and qualitative information regarding progress of actions or action plans disclosed in prior periods
4,E2-2,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan
5,E2-2,Description of type of current and future financial and other resources allocated to action plan
5,E2-2,Explanation of how current financial resources relate to most relevant amounts presented in financial statements
2,E2-2,Information about action plans that have been implemented at site-level (pollution)
1,E2-3,Disclosure of pollution-related targets
4,E2-3,Disclosure of measurable outcome-oriented and time-bound target
5,E2-3,Description of scope of target
5,E2-3,Indication of milestones or interim targets
5,E2-3,Description of methodologies and significant assumptions used to define target
6,E2-3,Disclosure of how stakeholders have been involved in target setting
5,E2-3,"Description of any changes in target and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and adopted processes to collect data"
5,E2-3,Description of performance against disclosed target
6,E2-3,Disclosure of how target relates to prevention and control of air pollutants and respective specific loads
6,E2-3,Disclosure of how target relates to prevention and control of emissions to water and respective specific loads
6,E2-3,Disclosure of how target relates to prevention and control of pollution to soil and respective specific loads
6,E2-3,Disclosure of how target relates to prevention and control of substances of concern and substances of very high concern
6,E2-3,Disclosure of ecological thresholds identified and methodology used to identify ecological thresholds (pollution)
7,E2-3,Disclosure of how ecological entity-specific thresholds were determined (pollution)
6,E2-3,Disclosure of how responsibility for respecting identified ecological thresholds is allocated (pollution)
6,E2-3,Disclosure of timeframe for setting of measurable outcome-oriented targets
5,E2-3,Description of reasons why there are no plans to set measurable outcome-oriented targets
6,E2-3,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
6,E2-3,Description of defined level of ambition to be achieved and of any qualitative or quantitative indicators used to evaluate progress
2,E2-3,Information about targets that have been implemented at site-level (pollution)
2,E2-4,"Disclosure of pollutants emitted through own operations, as well as microplastics generated or used"
5,E2-4,"Description of changes over time (pollution of air, water and soil)"
5,E2-4,"Description of measurement methodologies (pollution of air, water and soil)"
6,E2-4,Disclosure of how calibration tests of AMS were undertaken and verification of periodic measurement by independent labs was ensured
5,E2-4,Description of process(es) to collect data for pollution-related accounting and reporting
5,E2-4,Disclosure of reasons for choosing inferior methodology to quantify emissions
5,E2-4,"Disclosure of standard, sectoral study or sources which form basis of estimates, possible degree of uncertainty and range of estimates reflecting measurement uncertainty (pollution)"
6,E2-4,Disclosure of list of installations operated that fall under IED and EU BAT Conclusions
6,E2-4,Disclosure of list of any non-compliance incidents or enforcement actions necessary to ensure compliance in case of breaches of permit conditions
6,E2-4,Disclosure of actual performance and comparison of environmental performance against emission levels associated with best available techniques (BAT-AEL) as described in EU-BAT conclusions
6,E2-4,Disclosure of actual performance against environmental performance levels associated with best available techniques (BAT-AEPLs) applicable to sector and installation
6,E2-4,Disclosure of list of any compliance schedules or derogations granted by competent authorities according to Article 15(4) IED that are associated with implementation of BAT-AELs
1,E2-5,"Disclosure of information on production, use, distribution, commercialisation and import (or) export of substances of concern and substances of very high concern on their own, in mixtures or in articles"
2,E2-6,Disclosure of anticipated financial effects of material pollution-related risks and opportunities
5,E2-6,Disclosure of quantitative information about anticipated financial effects of material risks and opportunities arising from pollution-related impacts. Phase-in provisions in accordance with Appendix C of ESRS 1 might be applied.
5,E2-6,Disclosure of qualitative information about anticipated financial effects of material risks and opportunities arising from pollution-related impacts
5,E2-6,"Disclosure of critical assumptions used to quantify anticipated financial effects, sources and level of uncertainty of assumptions (pollution)"
2,E2-6.1,Disclosure of anticipated financial effects of material pollution-related risks and opportunities
5,E2-6.1,Disclosure of quantitative information about anticipated financial effects of material risks and opportunities arising from pollution-related impacts. Phase-in provisions in accordance with Appendix C of ESRS 1 might be applied.
5,E2-6.1,Disclosure of qualitative information about anticipated financial effects of material risks and opportunities arising from pollution-related impacts
5,E2-6.1,"Description of effects considered, related impacts and time horizons in which they are likely to materialise (pollution)"
5,E2-6.1,"Description of material incidents and deposits whereby pollution had negative impacts on environment and (or) is expected to have negative effects on financial cash flows, financial position and financial performance"
1,E3.IRO-1,"Disclosure of process to identify impacts, risks and opportunities and to assess which ones are material"
3,E3.IRO-1,"Disclosure of how assets and activities have been screened in order to identify actual and potential water and marine resources-related impacts, risks and opportunities in own operations and upstream and downstream value chain and methodologies, assumptions and tools used in screening"
3,E3.IRO-1,Disclosure of how consultations have been conducted (water and marine resources)
1,E3-1,"Disclosure of policies adopted to manage material impacts, risks and opportunities related to water and marine resources"
4,E3-1,Description of key contents of policy
4,E3-1,Description of scope of policy or of its exclusions
4,E3-1,Description of most senior level in organisation that is accountable for implementation of policy
4,E3-1,Disclosure of third-party standards or initiatives that are respected through implementation of policy
4,E3-1,Description of consideration given to interests of key stakeholders in setting policy
5,E3-1,Explanation of how policy is made available to potentially affected stakeholders and stakeholders who need to help implement it
5,E3-1,Disclosure of how policy addresses water management
5,E3-1,Disclosure of how policy addresses product and service design in view of addressing water-related issues and preservation of marine resources
5,E3-1,Disclosure of how policy addresses commitment to reduce material water consumption in areas at water risk in own operations and along upstream and downstream value chain
3,E3-1,Disclosure of reasons for not having adopted policy in areas of high-water stress
3,E3-1,Disclosure of timeframe in which policy in areas of high-water stress will be adopted
1,E3-2,Disclosure of water and marine resources-related actions and resources allocated to their implementation
4,E3-2,Disclosure of key action
4,E3-2,Disclosure of expected outcomes of key action and how its implementation contributes to achievement of policy objectives and targets
4,E3-2,Description of scope of key action
4,E3-2,Disclosure of quantitative and qualitative information regarding progress of actions or action plans disclosed in prior periods
4,E3-2,Information about specific collective action for water and marine resources
4,E3-2,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan
5,E3-2,Description of type of current and future financial and other resources allocated to action plan
5,E3-2,Explanation of how current financial resources relate to most relevant amounts presented in financial statements
1,E3-3,Disclosure of water and marine resources-related targets
4,E3-3,Disclosure of measurable outcome-oriented and time-bound target
5,E3-3,Description of scope of target
5,E3-3,Indication of milestones or interim targets
5,E3-3,Description of methodologies and significant assumptions used to define target
6,E3-3,Disclosure of how stakeholders have been involved in target setting
5,E3-3,"Description of any changes in target and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and adopted processes to collect data"
5,E3-3,Description of performance against disclosed target
6,E3-3,"Disclosure of how target relates to management of material impacts, risks and opportunities related to areas at water risk, including improvement of water quality"
6,E3-3,"Disclosure of how target relates to responsible management of marine resources impacts, risks and opportunities, including nature and quantity of marine resources-related commodities used by undertaking"
6,E3-3,"Disclosure of how target relates to reduction of water consumption, including in areas at water risk and in areas of high water-stress"
6,E3-3,Disclosure of ecological thresholds identified and methodology used to identify ecological thresholds (water and marine resources)
7,E3-3,Disclosure of how ecological entity-specific thresholds were determined (water and marine resources)
6,E3-3,Disclosure of how responsibility for respecting identified ecological thresholds is allocated (water and marine resources)
6,E3-3,Disclosure of timeframe for setting of measurable outcome-oriented targets
5,E3-3,Description of reasons why there are no plans to set measurable outcome-oriented targets
6,E3-3,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
6,E3-3,Description of defined level of ambition to be achieved and of any qualitative or quantitative indicators used to evaluate progress
2,E3-4,"Disclosure of information about water consumption performance related to material impacts, risks and opportunities"
5,E3-4,"Disclosure of contextual information related to water consumption, water recycled and reused, water stored and changes in water storage and how data have been compiled"
5,E3-4,Disclosure of additional water intensity ratio
5,E3-4,Disclosure of additional water intensity ratio
1,E3-5,Disclosure of anticipated financial effects of material water and marine resources-related risks and opportunities
2,E3-5,Disclosure of quantitative information about anticipated financial effects of material risks and opportunities arising from water and marine resources-related impacts. Phase-in provisions in accordance with Appendix C of ESRS 1 might be applied.
2,E3-5,Disclosure of qualitative information about anticipated financial effects of material risks and opportunities arising from water and marine resources-related impacts
2,E3-5,"Disclosure of critical assumptions used to quantify anticipated financial effects, sources and level of uncertainty of assumptions (water and marine resources)"
4,E3-5,Disclosure of quantitative information about anticipated financial effects of material risks and opportunities arising from water and marine resources-related impacts. Phase-in provisions in accordance with Appendix C of ESRS 1 might be applied.
4,E3-5,Disclosure of qualitative information about anticipated financial effects of material risks and opportunities arising from water and marine resources-related impacts
4,E3-5,"Description of effects considered, related impacts and dependencies and time horizons in which they are likely to materialise (water and marine resources)"
2,E4.SBM-3,Description of material impacts resulting from materiality assessment
5,E4.SBM-3,Disclosure of list of material sites in own operations based on results of identification and assessment of actual and potential impacts on biodiversity and ecosystems
5,E4.SBM-3,Disclosure of activities negatively affecting biodiversity sensitive areas
5,E4.SBM-3,Disclosure of biodiversity-sensitive areas impacted
5,E4.SBM-3,Disclosure of list of material sites in own operations based on results of identification and assessment of actual and potential impacts on biodiversity and ecosystems
1,E4.IRO-1,"Disclosure of process to identify impacts, risks and opportunities and to assess which ones are material"
3,E4.IRO-1,Disclosure of how actual and potential impacts on biodiversity and ecosystems at own site locations and in upstream and downstream value chain have been identified and assessed
3,E4.IRO-1,Disclosure of how dependencies on biodiversity and ecosystems and their services have been identified and assessed at own site locations and in upstream and downstream value chain
3,E4.IRO-1,Disclosure of how transition and physical risks and opportunities related to biodiversity and ecosystems have been identified and assessed
3,E4.IRO-1,Disclosure of how systemic risks have been considered (biodiversity and ecosystems)
3,E4.IRO-1,Disclosure of how consultations with affected communities on sustainability assessments of shared biological resources and ecosystems have been conducted
4,E4.IRO-1,"Disclosure of specific sites, raw materials production or sourcing with negative or potential negative impacts on affected communities"
3,E4.IRO-1,Disclosure of how affected communities were involved in materiality assessment
3,E4.IRO-1,Disclosure of how negative impacts on ecosystem services of relevance to affected communities may be avoided
4,E4.IRO-1,Disclosure of plans to minimise unavoidable negative impacts and implement mitigation measures that aim to maintain value and functionality of priority services
3,E4.IRO-1,"Disclosure of how biodiversity and ecosystems scenario analysis has been used to inform identification and assessment of material risks and opportunities over short, medium and long-term time horizons"
4,E4.IRO-1,Disclosure of why considered scenarios were selected (biodiversity and ecosystems)
4,E4.IRO-1,Disclosure of how considered scenarios are updated according to evolving conditions and emerging trends (biodiversity and ecosystems)
1,E4-1,"Disclosure of transition plan and how biodiversity and ecosystem impacts, dependencies, risks and opportunities originate from and trigger adaptation of strategy and business model"
2,E4-1,Information about resilience of strategy and business model regarding capacity to address material impacts and risks and to take advantage of material opportunities
3,E4-1,"Disclosure of resilience of current business model and strategy to biodiversity and ecosystems-related physical, transition and systemic risks"
3,E4-1,Disclosure of scope of resilience analysis in relation to own operations and upstream and downstream value chain and in relation to risks considered in that analysis
3,E4-1,Disclosure of key assumptions made in resilience analysis (biodiversity and ecosystems)
3,E4-1,Disclosure of results of resilience analysis (biodiversity and ecosystems)
3,E4-1,Disclosure of involvement of stakeholders in resilience analysis (biodiversity and ecosystems)
2,E4-1,"Disclosure of transition plan to improve and achieve alignment of business model and strategy with vision of Kunming-Montreal Global Biodiversity Framework and relevant goals and targets, EU Biodiversity Strategy for 2030, and with respecting planetary boundaries related to biosphere integrity and land-system change"
1,E4-2,"Disclosure of adopted policies to manage material impacts, risks, dependencies and opportunities related to biodiversity and ecosystems"
4,E4-2,Description of key contents of policy
4,E4-2,Description of scope of policy or of its exclusions
4,E4-2,Description of most senior level in organisation that is accountable for implementation of policy
4,E4-2,Disclosure of third-party standards or initiatives that are respected through implementation of policy
4,E4-2,Description of consideration given to interests of key stakeholders in setting policy
5,E4-2,Explanation of how policy is made available to potentially affected stakeholders and stakeholders who need to help implement it
4,E4-2,Disclosure of how policy relates to sustainability matters for biodiversity and ecosystems
5,E4-2,Disclosure of how biodiversity and ecosystems-related policy relates to material biodiversity and ecosystems-related impacts
5,E4-2,Disclosure of how biodiversity and ecosystems-related policy relates to material dependencies and material physical and transition risks and opportunities
5,E4-2,"Disclosure of how biodiversity and ecosystems-related policy supports traceability of products, components and raw materials with material actual or potential impacts on biodiversity and ecosystems along value chain"
5,E4-2,"Disclosure of how biodiversity and ecosystems-related policy addresses production, sourcing or consumption from ecosystems that are managed to maintain or enhance conditions for biodiversity"
5,E4-2,Disclosure of how biodiversity and ecosystems-related policy addresses social consequences of biodiversity and ecosystems-related impacts
4,E4-2,"Disclosure of how policy refers to production, sourcing or consumption of raw materials"
5,E4-2,Disclosure of how policy limits procurement from suppliers that cannot demonstrate that they are not contributing to significant damage to protected areas or key biodiversity areas
5,E4-2,Disclosure of how policy refers to recognised standards or third-party certifications overseen by regulators
5,E4-2,Disclosure of how policy addresses raw materials originating from ecosystems that have been managed to maintain or enhance conditions for biodiversity
4,E4-2,Disclosure of how policy enables to avoid negative impacts on biodiversity and ecosystems in own operations and related upstream and downstream value chain
4,E4-2,Disclosure of how policy enables to reduce and minimise negative impacts on biodiversity and ecosystems in own operations and throughout upstream and downstream value chain that cannot be avoided
4,E4-2,Disclosure of how policy enables to restore and rehabilitate degraded ecosystems or restore cleared ecosystems following exposure to impacts that cannot be completely avoided and (or) minimised
4,E4-2,Disclosure of how policy enables to mitigate contribution to material biodiversity loss drivers
1,E4-3,Disclosure of biodiversity and ecosystems-related actions and resources allocated to their implementation
4,E4-3,Disclosure of key action
4,E4-3,Disclosure of expected outcomes of key action and how its implementation contributes to achievement of policy objectives and targets
4,E4-3,Description of scope of key action
4,E4-3,Disclosure of quantitative and qualitative information regarding progress of actions or action plans disclosed in prior periods
4,E4-3,Disclosure of how mitigation hierarchy has been applied with regard to actions (biodiversity and ecosystems)
5,E4-3,Disclosure of aim of biodiversity offset and key performance indicators used
5,E4-3,Description of biodiversity offsets
5,E4-3,Description of how local and indigenous knowledge and nature-based solutions have been incorporated into biodiversity and ecosystems-related action
4,E4-3,"Disclosure of list of key stakeholders involved in key action and how they are involved, key stakeholders negatively or positively impacted by key action and how they are impacted"
4,E4-3,Explanation of need for appropriate consultations and need to respect decisions of affected communities
4,E4-3,Description of whether key action may induce significant negative sustainability impacts (biodiversity and ecosystems)
5,E4-3,"Disclosure of additional information about project, its sponsors and other participants (biodiversity and ecosystems)"
4,E4-3,Description of how key action contributes to system-wide change (biodiversity and ecosystems)
4,E4-3,Disclosure of significant operational expenditures (Opex) and (or) capital expenditures (Capex) required for implementation of action plan
5,E4-3,Description of type of current and future financial and other resources allocated to action plan
5,E4-3,Explanation of how current financial resources relate to most relevant amounts presented in financial statements
5,E4-3,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to relevant line items or notes in financial statements
5,E4-3,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to key performance indicators required under Commission Delegated Regulation (EU) 2021/2178
5,E4-3,Explanation of relationship of significant CapEx and OpEx required to implement actions taken or planned to CapEx plan required by Commission Delegated Regulation (EU) 2021/2178
1,E4-4,Disclosure of biodiversity and ecosystem-related targets
4,E4-4,Disclosure of measurable outcome-oriented and time-bound target
5,E4-4,Description of scope of target
5,E4-4,Indication of milestones or interim targets
5,E4-4,Description of methodologies and significant assumptions used to define target
6,E4-4,Disclosure of how stakeholders have been involved in target setting
5,E4-4,"Description of any changes in target and corresponding metrics or underlying measurement methodologies, significant assumptions, limitations, sources and adopted processes to collect data"
5,E4-4,Description of performance against disclosed target
6,E4-4,Disclosure of ecological thresholds identified and methodology used to identify ecological thresholds (biodiversity and ecosystems)
7,E4-4,Disclosure of how ecological entity-specific thresholds were determined (biodiversity and ecosystems)
6,E4-4,Disclosure of how responsibility for respecting identified ecological thresholds is allocated (biodiversity and ecosystems)
5,E4-4,"Disclosure of how target relates to biodiversity and ecosystem impacts, dependencies, risks and opportunities identified in relation to own operations and upstream and downstream value chain"
5,E4-4,Disclosure of geographical scope of target
6,E4-4,Disclosure of timeframe for setting of measurable outcome-oriented targets
5,E4-4,Description of reasons why there are no plans to set measurable outcome-oriented targets
6,E4-4,"Description of processes through which effectiveness of policies and actions is tracked in relation to material sustainability-related impact, risk and opportunity"
6,E4-4,Description of defined level of ambition to be achieved and of any qualitative or quantitative indicators used to evaluate progress
2,E4-5,Disclosure of metrics related to material impacts on biodiversity and ecosystems
5,E4-5,Disclosure of land-use based on Life Cycle Assessment
5,E4-5,"Disclosure of metrics considered relevant for land-use change, freshwater-use change and (or) sea-use change"
6,E4-5,Disclosure of metrics that measure conversion over time of land cover
6,E4-5,Disclosure of metrics that measure changes over time in management of ecosystem
6,E4-5,Disclosure of metrics that measure changes in spatial configuration of landscape
6,E4-5,Disclosure of metrics that measure changes in ecosystem structural connectivity
6,E4-5,Disclosure of metrics that measure functional connectivity
5,E4-5,Disclosure of pathways of introduction and spread of invasive alien species
5,E4-5,Disclosure of metrics used to manage pathways of introduction and spread of invasive alien species and risks posed by invasive alien species
5,E4-5,Disclosure of metrics considered relevant for state of species
